00001 A00     0 Cholera                                                      Cholera
83388 T83512D 1 I/I react d/t nephrostomy catheter, subsequent encounter     Infection and inflammatory reaction due to nephrostomy catheter, subsequent encounter
83389 T83512S 1 I/I react d/t nephrostomy catheter, sequela                  Infection and inflammatory reaction due to nephrostomy catheter, sequela
83390 T83518  0 I/I react d/t other urinary catheter                         Infection and inflammatory reaction due to other urinary catheter
83391 T83518A 1 I/I react d/t other urinary catheter, initial encounter      Infection and inflammatory reaction due to other urinary catheter, initial encounter
83392 T83518D 1 I/I react d/t other urinary catheter, subsequent encounter   Infection and inflammatory reaction due to other urinary catheter, subsequent encounter
83393 T83518S 1 I/I react d/t other urinary catheter, sequela                Infection and inflammatory reaction due to other urinary catheter, sequela
83394 T8359   0 Infect/inflm reaction due to prosth dev/grft in urinry sys   Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system
83395 T83590  0 I/I react d/t implanted urinary neurostimulation device      Infection and inflammatory reaction due to implanted urinary neurostimulation device
83396 T83590A 1 I/I react d/t implanted urn nstim dev, initial encounter     Infection and inflammatory reaction due to implanted urinary neurostimulation device, initial encounter
83397 T83590D 1 I/I react d/t implanted urn nstim dev, subsequent encounter  Infection and inflammatory reaction due to implanted urinary neurostimulation device, subsequent encounter
83398 T83590S 1 I/I react d/t implanted urn nstim dev, sequela               Infection and inflammatory reaction due to implanted urinary neurostimulation device, sequela
83399 T83591  0 I/I react d/t implanted urinary sphincter                    Infection and inflammatory reaction due to implanted urinary sphincter
83400 T83591A 1 I/I react d/t implanted urinary sphincter, initial encounter Infection and inflammatory reaction due to implanted urinary sphincter, initial encounter
83401 T83591D 1 I/I react d/t implanted urinary sphincter, subs              Infection and inflammatory reaction due to implanted urinary sphincter, subsequent encounter
83402 T83591S 1 I/I react d/t implanted urinary sphincter, sequela           Infection and inflammatory reaction due to implanted urinary sphincter, sequela
83403 T83592  0 I/I react d/t indwelling ureteral stent                      Infection and inflammatory reaction due to indwelling ureteral stent
83404 T83592A 1 I/I react d/t indwelling ureteral stent, initial encounter   Infection and inflammatory reaction due to indwelling ureteral stent, initial encounter
83405 T83592D 1 I/I react d/t indwelling ureteral stent, subs                Infection and inflammatory reaction due to indwelling ureteral stent, subsequent encounter
83406 T83592S 1 I/I react d/t indwelling ureteral stent, sequela             Infection and inflammatory reaction due to indwelling ureteral stent, sequela
83407 T83593  0 I/I react d/t other urinary stents                           Infection and inflammatory reaction due to other urinary stents
83408 T83593A 1 I/I react d/t other urinary stents, initial encounter        Infection and inflammatory reaction due to other urinary stents, initial encounter
83409 T83593D 1 I/I react d/t other urinary stents, subsequent encounter     Infection and inflammatory reaction due to other urinary stents, subsequent encounter
83410 T83593S 1 I/I react d/t other urinary stents, sequela                  Infection and inflammatory reaction due to other urinary stents, sequela
83411 T83598  0 I/I react d/t other prosth dev/grft in urinary system        Infection and inflammatory reaction due to other prosthetic device, implant and graft in urinary system
83412 T83598A 1 I/I react d/t other prosth dev/grft urn sys, init            Infection and inflammatory reaction due to other prosthetic device, implant and graft in urinary system, initial encounter
83413 T83598D 1 I/I react d/t other prosth dev/grft in urinary system, subs  Infection and inflammatory reaction due to other prosthetic device, implant and graft in urinary system, subsequent encounter
83414 T83598S 1 I/I react d/t other prosth dev/grft urn sys, sequela         Infection and inflammatory reaction due to other prosthetic device, implant and graft in urinary system, sequela
83415 T836    0 Infect/inflm reaction due to prosth dev/grft in genitl trct  Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract
83416 T8361   0 I/I react d/t implanted penile prosthesis                    Infection and inflammatory reaction due to implanted penile prosthesis
83417 T8361XA 1 I/I react d/t implanted penile prosthesis, initial encounter Infection and inflammatory reaction due to implanted penile prosthesis, initial encounter
83418 T8361XD 1 I/I react d/t implanted penile prosthesis, subs              Infection and inflammatory reaction due to implanted penile prosthesis, subsequent encounter
83419 T8361XS 1 I/I react d/t implanted penile prosthesis, sequela           Infection and inflammatory reaction due to implanted penile prosthesis, sequela
83420 T8362   0 I/I react d/t implanted testicular prosthesis                Infection and inflammatory reaction due to implanted testicular prosthesis
83421 T8362XA 1 I/I react d/t implanted testicular prosthesis, init          Infection and inflammatory reaction due to implanted testicular prosthesis, initial encounter
83422 T8362XD 1 I/I react d/t implanted testicular prosthesis, subs          Infection and inflammatory reaction due to implanted testicular prosthesis, subsequent encounter
83423 T8362XS 1 I/I react d/t implanted testicular prosthesis, sequela       Infection and inflammatory reaction due to implanted testicular prosthesis, sequela
83424 T8369   0 I/I react d/t other prosth dev/grft in genital tract         Infection and inflammatory reaction due to other prosthetic device, implant and graft in genital tract
83425 T8369XA 1 I/I react d/t other prosth dev/grft in genital tract, init   Infection and inflammatory reaction due to other prosthetic device, implant and graft in genital tract, initial encounter
83426 T8369XD 1 I/I react d/t other prosth dev/grft in genital tract, subs   Infection and inflammatory reaction due to other prosthetic device, implant and graft in genital tract, subsequent encounter
83427 T8369XS 1 I/I react d/t other prosth dev/grft in genitl trct, sequela  Infection and inflammatory reaction due to other prosthetic device, implant and graft in genital tract, sequela
83428 T837    0 Complications due to implanted prstht mtrl                   Complications due to implanted mesh and other prosthetic materials
83429 T8371   0 Erosion of implanted prstht mtrl to surrnd org/tiss          Erosion of implanted mesh and other prosthetic materials to surrounding organ or tissue
83430 T83711  0 Erosion of implanted vaginal mesh to surrnd org/tiss         Erosion of implanted vaginal mesh to surrounding organ or tissue
83431 T83711A 1 Erosn implnt vaginal mesh to surrnd org/tiss, init           Erosion of implanted vaginal mesh to surrounding organ or tissue, initial encounter
83432 T83711D 1 Erosn implnt vaginal mesh to surrnd org/tiss, subs           Erosion of implanted vaginal mesh to surrounding organ or tissue, subsequent encounter
83433 T83711S 1 Erosn implnt vaginal mesh to surrnd org/tiss, sequela        Erosion of implanted vaginal mesh to surrounding organ or tissue, sequela
83434 T83712  0 Erosion of implanted urethral mesh to surrnd org/tiss        Erosion of implanted urethral mesh to surrounding organ or tissue
83435 T83712A 1 Erosn implnt urethral mesh to surrnd org/tiss, init          Erosion of implanted urethral mesh to surrounding organ or tissue, initial encounter
83436 T83712D 1 Erosn implnt urethral mesh to surrnd org/tiss, subs          Erosion of implanted urethral mesh to surrounding organ or tissue, subsequent encounter
83437 T83712S 1 Erosn implnt urethral mesh to surrnd org/tiss, sequela       Erosion of implanted urethral mesh to surrounding organ or tissue, sequela
83438 T83713  0 Erosn implnt urethral bulking agent to surrnd org/tiss       Erosion of implanted urethral bulking agent to surrounding organ or tissue
83439 T83713A 1 Erosn implnt urethral bulking agent to surrnd org/tiss, init Erosion of implanted urethral bulking agent to surrounding organ or tissue, initial encounter
83440 T83713D 1 Erosn implnt urethral bulking agent to surrnd org/tiss, subs Erosion of implanted urethral bulking agent to surrounding organ or tissue, subsequent encounter
83441 T83713S 1 Erosn implnt urethral bulking agent to surrnd org/tiss, sqla Erosion of implanted urethral bulking agent to surrounding organ or tissue, sequela
83442 T83714  0 Erosion of implanted urtl bulk agnt organ or tissue          Erosion of implanted ureteral bulking agent to surrounding organ or tissue
83443 T83714A 1 Erosn implnt urtl bulk agnt organ or tissue, init            Erosion of implanted ureteral bulking agent to surrounding organ or tissue, initial encounter
83444 T83714D 1 Erosn implnt urtl bulk agnt organ or tissue, subs            Erosion of implanted ureteral bulking agent to surrounding organ or tissue, subsequent encounter
83445 T83714S 1 Erosion of implanted urtl bulk agnt organ or tissue, sequela Erosion of implanted ureteral bulking agent to surrounding organ or tissue, sequela
83446 T83718  0 Erosion of other implanted mesh to organ or tissue           Erosion of other implanted mesh to organ or tissue
83447 T83718A 1 Erosion of other implanted mesh to organ or tissue, init     Erosion of other implanted mesh to organ or tissue, initial encounter
83448 T83718D 1 Erosion of other implanted mesh to organ or tissue, subs     Erosion of other implanted mesh to organ or tissue, subsequent encounter
83449 T83718S 1 Erosion of other implanted mesh to organ or tissue, sequela  Erosion of other implanted mesh to organ or tissue, sequela
83450 T83719  0 Erosion of other prosthetic materials to surrnd org/tiss     Erosion of other prosthetic materials to surrounding organ or tissue
83451 T83719A 1 Erosion of other prosth materials to surrnd org/tiss, init   Erosion of other prosthetic materials to surrounding organ or tissue, initial encounter
83452 T83719D 1 Erosion of other prosth materials to surrnd org/tiss, subs   Erosion of other prosthetic materials to surrounding organ or tissue, subsequent encounter
83453 T83719S 1 Erosion of other prosth matrl to surrnd org/tiss, sequela    Erosion of other prosthetic materials to surrounding organ or tissue, sequela
83454 T8372   0 Expsr of implnt prstht mtrl into surrounding organ or tissue Exposure of implanted mesh and other prosthetic materials into surrounding organ or tissue
83455 T83721  0 Exposure of implanted vaginal mesh into vagina               Exposure of implanted vaginal mesh into vagina
83456 T83721A 1 Exposure of implanted vaginal mesh into vagina, init         Exposure of implanted vaginal mesh into vagina, initial encounter
83457 T83721D 1 Exposure of implanted vaginal mesh into vagina, subs         Exposure of implanted vaginal mesh into vagina, subsequent encounter
83458 T83721S 1 Exposure of implanted vaginal mesh into vagina, sequela      Exposure of implanted vaginal mesh into vagina, sequela
83459 T83722  0 Exposure of implanted urethral mesh into urethra             Exposure of implanted urethral mesh into urethra
83460 T83722A 1 Exposure of implanted urethral mesh into urethra, init       Exposure of implanted urethral mesh into urethra, initial encounter
83461 T83722D 1 Exposure of implanted urethral mesh into urethra, subs       Exposure of implanted urethral mesh into urethra, subsequent encounter
83462 T83722S 1 Exposure of implanted urethral mesh into urethra, sequela    Exposure of implanted urethral mesh into urethra, sequela
83463 T83723  0 Exposure of implanted urethral bulking agent into urethra    Exposure of implanted urethral bulking agent into urethra
83464 T83723A 1 Exposure of implnt urethral bulking agent into urethra, init Exposure of implanted urethral bulking agent into urethra, initial encounter
83465 T83723D 1 Exposure of implnt urethral bulking agent into urethra, subs Exposure of implanted urethral bulking agent into urethra, subsequent encounter
83466 T83723S 1 Expsr of implnt urethral bulking agent into urethra, sequela Exposure of implanted urethral bulking agent into urethra, sequela
83467 T83724  0 Exposure of implanted ureteral bulking agent into ureter     Exposure of implanted ureteral bulking agent into ureter
83468 T83724A 1 Exposure of implnt ureteral bulking agent into ureter, init  Exposure of implanted ureteral bulking agent into ureter, initial encounter
83469 T83724D 1 Exposure of implnt ureteral bulking agent into ureter, subs  Exposure of implanted ureteral bulking agent into ureter, subsequent encounter
83470 T83724S 1 Expsr of implnt ureteral bulking agent into ureter, sequela  Exposure of implanted ureteral bulking agent into ureter, sequela
83471 T83728  0 Exposure of other implanted mesh into organ or tissue        Exposure of other implanted mesh into organ or tissue
83472 T83728A 1 Exposure of other implanted mesh into organ or tissue, init  Exposure of other implanted mesh into organ or tissue, initial encounter
83473 T83728D 1 Exposure of other implanted mesh into organ or tissue, subs  Exposure of other implanted mesh into organ or tissue, subsequent encounter
83474 T83728S 1 Exposure of other implnt mesh into organ or tissue, sequela  Exposure of other implanted mesh into organ or tissue, sequela
83475 T83729  0 Exposure of other prosthetic materials into organ or tissue  Exposure of other prosthetic materials into organ or tissue
83476 T83729A 1 Exposure of other prosth matrl into organ or tissue, init    Exposure of other prosthetic materials into organ or tissue, initial encounter
83477 T83729D 1 Exposure of other prosth matrl into organ or tissue, subs    Exposure of other prosthetic materials into organ or tissue, subsequent encounter
83478 T83729S 1 Exposure of other prosth matrl into organ or tissue, sequela Exposure of other prosthetic materials into organ or tissue, sequela
83479 T8379   0 Oth comp due to other genitourinary prosthetic materials     Other specified complications due to other genitourinary prosthetic materials
83480 T8379XA 1 Oth comp due to other GU prosthetic materials, init          Other specified complications due to other genitourinary prosthetic materials, initial encounter
83481 T8379XD 1 Oth comp due to other GU prosthetic materials, subs          Other specified complications due to other genitourinary prosthetic materials, subsequent encounter
83482 T8379XS 1 Oth comp due to other GU prosthetic materials, sequela       Other specified complications due to other genitourinary prosthetic materials, sequela
83483 T838    0 Oth complications of genitourinary prosth dev/grft           Other specified complications of genitourinary prosthetic devices, implants and grafts
83484 T8381   0 Embolism due to genitourinary prosth dev/grft                Embolism due to genitourinary prosthetic devices, implants and grafts
83485 T8381XA 1 Embolism due to genitourinary prosth dev/grft, init          Embolism due to genitourinary prosthetic devices, implants and grafts, initial encounter
83486 T8381XD 1 Embolism due to genitourinary prosth dev/grft, subs          Embolism due to genitourinary prosthetic devices, implants and grafts, subsequent encounter
83487 T8381XS 1 Embolism due to genitourinary prosth dev/grft, sequela       Embolism due to genitourinary prosthetic devices, implants and grafts, sequela
83488 T8382   0 Fibrosis due to genitourinary prosth dev/grft                Fibrosis due to genitourinary prosthetic devices, implants and grafts
83489 T8382XA 1 Fibrosis due to genitourinary prosth dev/grft, init          Fibrosis due to genitourinary prosthetic devices, implants and grafts, initial encounter
83490 T8382XD 1 Fibrosis due to genitourinary prosth dev/grft, subs          Fibrosis due to genitourinary prosthetic devices, implants and grafts, subsequent encounter
83491 T8382XS 1 Fibrosis due to genitourinary prosth dev/grft, sequela       Fibrosis due to genitourinary prosthetic devices, implants and grafts, sequela
83492 T8383   0 Hemorrhage due to genitourinary prosth dev/grft              Hemorrhage due to genitourinary prosthetic devices, implants and grafts
83493 T8383XA 1 Hemorrhage due to genitourinary prosth dev/grft, init        Hemorrhage due to genitourinary prosthetic devices, implants and grafts, initial encounter
83494 T8383XD 1 Hemorrhage due to genitourinary prosth dev/grft, subs        Hemorrhage due to genitourinary prosthetic devices, implants and grafts, subsequent encounter
83495 T8383XS 1 Hemorrhage due to genitourinary prosth dev/grft, sequela     Hemorrhage due to genitourinary prosthetic devices, implants and grafts, sequela
83496 T8384   0 Pain due to genitourinary prosth dev/grft                    Pain due to genitourinary prosthetic devices, implants and grafts
83497 T8384XA 1 Pain due to genitourinary prosth dev/grft, initial encounter Pain due to genitourinary prosthetic devices, implants and grafts, initial encounter
83498 T8384XD 1 Pain due to genitourinary prosth dev/grft, subs              Pain due to genitourinary prosthetic devices, implants and grafts, subsequent encounter
83499 T8384XS 1 Pain due to genitourinary prosth dev/grft, sequela           Pain due to genitourinary prosthetic devices, implants and grafts, sequela
83500 T8385   0 Stenosis due to genitourinary prosth dev/grft                Stenosis due to genitourinary prosthetic devices, implants and grafts
83501 T8385XA 1 Stenosis due to genitourinary prosth dev/grft, init          Stenosis due to genitourinary prosthetic devices, implants and grafts, initial encounter
83502 T8385XD 1 Stenosis due to genitourinary prosth dev/grft, subs          Stenosis due to genitourinary prosthetic devices, implants and grafts, subsequent encounter
83503 T8385XS 1 Stenosis due to genitourinary prosth dev/grft, sequela       Stenosis due to genitourinary prosthetic devices, implants and grafts, sequela
83504 T8386   0 Thrombosis due to genitourinary prosth dev/grft              Thrombosis due to genitourinary prosthetic devices, implants and grafts
83505 T8386XA 1 Thrombosis due to genitourinary prosth dev/grft, init        Thrombosis due to genitourinary prosthetic devices, implants and grafts, initial encounter
83506 T8386XD 1 Thrombosis due to genitourinary prosth dev/grft, subs        Thrombosis due to genitourinary prosthetic devices, implants and grafts, subsequent encounter
83507 T8386XS 1 Thrombosis due to genitourinary prosth dev/grft, sequela     Thrombosis due to genitourinary prosthetic devices, implants and grafts, sequela
83508 T8389   0 Oth complication of genitourinary prosth dev/grft            Other specified complication of genitourinary prosthetic devices, implants and grafts
83509 T8389XA 1 Oth complication of genitourinary prosth dev/grft, init      Other specified complication of genitourinary prosthetic devices, implants and grafts, initial encounter
83510 T8389XD 1 Oth complication of genitourinary prosth dev/grft, subs      Other specified complication of genitourinary prosthetic devices, implants and grafts, subsequent encounter
83511 T8389XS 1 Oth complication of genitourinary prosth dev/grft, sequela   Other specified complication of genitourinary prosthetic devices, implants and grafts, sequela
83512 T839    0 Unsp complication of genitourinary prosth dev/grft           Unspecified complication of genitourinary prosthetic device, implant and graft
83513 T839XXA 1 Unsp complication of genitourinary prosth dev/grft, init     Unspecified complication of genitourinary prosthetic device, implant and graft, initial encounter
83514 T839XXD 1 Unsp complication of genitourinary prosth dev/grft, subs     Unspecified complication of genitourinary prosthetic device, implant and graft, subsequent encounter
83515 T839XXS 1 Unsp complication of genitourinary prosth dev/grft, sequela  Unspecified complication of genitourinary prosthetic device, implant and graft, sequela
83516 T84     0 Complications of internal orthopedic prosth dev/grft         Complications of internal orthopedic prosthetic devices, implants and grafts
83517 T840    0 Mechanical complication of internal joint prosthesis         Mechanical complication of internal joint prosthesis
83518 T8401   0 Broken internal joint prosthesis                             Broken internal joint prosthesis
83519 T84010  0 Broken internal right hip prosthesis                         Broken internal right hip prosthesis
83520 T84010A 1 Broken internal right hip prosthesis, initial encounter      Broken internal right hip prosthesis, initial encounter
83521 T84010D 1 Broken internal right hip prosthesis, subsequent encounter   Broken internal right hip prosthesis, subsequent encounter
83522 T84010S 1 Broken internal right hip prosthesis, sequela                Broken internal right hip prosthesis, sequela
83523 T84011  0 Broken internal left hip prosthesis                          Broken internal left hip prosthesis
83524 T84011A 1 Broken internal left hip prosthesis, initial encounter       Broken internal left hip prosthesis, initial encounter
83525 T84011D 1 Broken internal left hip prosthesis, subsequent encounter    Broken internal left hip prosthesis, subsequent encounter
83526 T84011S 1 Broken internal left hip prosthesis, sequela                 Broken internal left hip prosthesis, sequela
83527 T84012  0 Broken internal right knee prosthesis                        Broken internal right knee prosthesis
83528 T84012A 1 Broken internal right knee prosthesis, initial encounter     Broken internal right knee prosthesis, initial encounter
83529 T84012D 1 Broken internal right knee prosthesis, subsequent encounter  Broken internal right knee prosthesis, subsequent encounter
83530 T84012S 1 Broken internal right knee prosthesis, sequela               Broken internal right knee prosthesis, sequela
83531 T84013  0 Broken internal left knee prosthesis                         Broken internal left knee prosthesis
83532 T84013A 1 Broken internal left knee prosthesis, initial encounter      Broken internal left knee prosthesis, initial encounter
83533 T84013D 1 Broken internal left knee prosthesis, subsequent encounter   Broken internal left knee prosthesis, subsequent encounter
83534 T84013S 1 Broken internal left knee prosthesis, sequela                Broken internal left knee prosthesis, sequela
83535 T84018  0 Broken internal joint prosthesis, other site                 Broken internal joint prosthesis, other site
83536 T84018A 1 Broken internal joint prosthesis, other site, init encntr    Broken internal joint prosthesis, other site, initial encounter
83537 T84018D 1 Broken internal joint prosthesis, other site, subs encntr    Broken internal joint prosthesis, other site, subsequent encounter
83538 T84018S 1 Broken internal joint prosthesis, other site, sequela        Broken internal joint prosthesis, other site, sequela
83539 T84019  0 Broken internal joint prosthesis, unspecified site           Broken internal joint prosthesis, unspecified site
83540 T84019A 1 Broken internal joint prosthesis, unsp site, init encntr     Broken internal joint prosthesis, unspecified site, initial encounter
83541 T84019D 1 Broken internal joint prosthesis, unsp site, subs encntr     Broken internal joint prosthesis, unspecified site, subsequent encounter
83542 T84019S 1 Broken internal joint prosthesis, unspecified site, sequela  Broken internal joint prosthesis, unspecified site, sequela
83543 T8402   0 Dislocation of internal joint prosthesis                     Dislocation of internal joint prosthesis
83544 T84020  0 Dislocation of internal right hip prosthesis                 Dislocation of internal right hip prosthesis
83545 T84020A 1 Dislocation of internal right hip prosthesis, init encntr    Dislocation of internal right hip prosthesis, initial encounter
83546 T84020D 1 Dislocation of internal right hip prosthesis, subs encntr    Dislocation of internal right hip prosthesis, subsequent encounter
83547 T84020S 1 Dislocation of internal right hip prosthesis, sequela        Dislocation of internal right hip prosthesis, sequela
83548 T84021  0 Dislocation of internal left hip prosthesis                  Dislocation of internal left hip prosthesis
83549 T84021A 1 Dislocation of internal left hip prosthesis, init encntr     Dislocation of internal left hip prosthesis, initial encounter
83550 T84021D 1 Dislocation of internal left hip prosthesis, subs encntr     Dislocation of internal left hip prosthesis, subsequent encounter
83551 T84021S 1 Dislocation of internal left hip prosthesis, sequela         Dislocation of internal left hip prosthesis, sequela
83552 T84022  0 Instability of internal right knee prosthesis                Instability of internal right knee prosthesis
83553 T84022A 1 Instability of internal right knee prosthesis, init encntr   Instability of internal right knee prosthesis, initial encounter
83554 T84022D 1 Instability of internal right knee prosthesis, subs encntr   Instability of internal right knee prosthesis, subsequent encounter
83555 T84022S 1 Instability of internal right knee prosthesis, sequela       Instability of internal right knee prosthesis, sequela
83556 T84023  0 Instability of internal left knee prosthesis                 Instability of internal left knee prosthesis
83557 T84023A 1 Instability of internal left knee prosthesis, init encntr    Instability of internal left knee prosthesis, initial encounter
83558 T84023D 1 Instability of internal left knee prosthesis, subs encntr    Instability of internal left knee prosthesis, subsequent encounter
83559 T84023S 1 Instability of internal left knee prosthesis, sequela        Instability of internal left knee prosthesis, sequela
83560 T84028  0 Dislocation of other internal joint prosthesis               Dislocation of other internal joint prosthesis
83561 T84028A 1 Dislocation of other internal joint prosthesis, init encntr  Dislocation of other internal joint prosthesis, initial encounter
83562 T84028D 1 Dislocation of other internal joint prosthesis, subs encntr  Dislocation of other internal joint prosthesis, subsequent encounter
83563 T84028S 1 Dislocation of other internal joint prosthesis, sequela      Dislocation of other internal joint prosthesis, sequela
83564 T84029  0 Dislocation of unspecified internal joint prosthesis         Dislocation of unspecified internal joint prosthesis
83565 T84029A 1 Dislocation of unsp internal joint prosthesis, init encntr   Dislocation of unspecified internal joint prosthesis, initial encounter
83566 T84029D 1 Dislocation of unsp internal joint prosthesis, subs encntr   Dislocation of unspecified internal joint prosthesis, subsequent encounter
83567 T84029S 1 Dislocation of unsp internal joint prosthesis, sequela       Dislocation of unspecified internal joint prosthesis, sequela
83568 T8403   0 Mechanical loosening of internal prosthetic joint            Mechanical loosening of internal prosthetic joint
83569 T84030  0 Mechanical loosening of internal right hip prosthetic joint  Mechanical loosening of internal right hip prosthetic joint
83570 T84030A 1 Mech loosening of internal right hip prosthetic joint, init  Mechanical loosening of internal right hip prosthetic joint, initial encounter
83571 T84030D 1 Mech loosening of internal right hip prosthetic joint, subs  Mechanical loosening of internal right hip prosthetic joint, subsequent encounter
83572 T84030S 1 Mech loosening of internal right hip prosth joint, sequela   Mechanical loosening of internal right hip prosthetic joint, sequela
83573 T84031  0 Mechanical loosening of internal left hip prosthetic joint   Mechanical loosening of internal left hip prosthetic joint
83574 T84031A 1 Mech loosening of internal left hip prosthetic joint, init   Mechanical loosening of internal left hip prosthetic joint, initial encounter
83575 T84031D 1 Mech loosening of internal left hip prosthetic joint, subs   Mechanical loosening of internal left hip prosthetic joint, subsequent encounter
83576 T84031S 1 Mech loosening of internal left hip prosth joint, sequela    Mechanical loosening of internal left hip prosthetic joint, sequela
83577 T84032  0 Mechanical loosening of internal right knee prosthetic joint Mechanical loosening of internal right knee prosthetic joint
83578 T84032A 1 Mech loosening of internal right knee prosthetic joint, init Mechanical loosening of internal right knee prosthetic joint, initial encounter
83579 T84032D 1 Mech loosening of internal right knee prosthetic joint, subs Mechanical loosening of internal right knee prosthetic joint, subsequent encounter
83580 T84032S 1 Mech loosening of internal right knee prosth joint, sequela  Mechanical loosening of internal right knee prosthetic joint, sequela
83581 T84033  0 Mechanical loosening of internal left knee prosthetic joint  Mechanical loosening of internal left knee prosthetic joint
83582 T84033A 1 Mech loosening of internal left knee prosthetic joint, init  Mechanical loosening of internal left knee prosthetic joint, initial encounter
83583 T84033D 1 Mech loosening of internal left knee prosthetic joint, subs  Mechanical loosening of internal left knee prosthetic joint, subsequent encounter
83584 T84033S 1 Mech loosening of internal left knee prosth joint, sequela   Mechanical loosening of internal left knee prosthetic joint, sequela
83585 T84038  0 Mechanical loosening of other internal prosthetic joint      Mechanical loosening of other internal prosthetic joint
83586 T84038A 1 Mechanical loosening of oth internal prosthetic joint, init  Mechanical loosening of other internal prosthetic joint, initial encounter
83587 T84038D 1 Mechanical loosening of oth internal prosthetic joint, subs  Mechanical loosening of other internal prosthetic joint, subsequent encounter
83588 T84038S 1 Mechanical loosening of internal prosthetic joint, sequela   Mechanical loosening of other internal prosthetic joint, sequela
83589 T84039  0 Mechanical loosening of unsp internal prosthetic joint       Mechanical loosening of unspecified internal prosthetic joint
83590 T84039A 1 Mechanical loosening of unsp internal prosthetic joint, init Mechanical loosening of unspecified internal prosthetic joint, initial encounter
83591 T84039D 1 Mechanical loosening of unsp internal prosthetic joint, subs Mechanical loosening of unspecified internal prosthetic joint, subsequent encounter
83592 T84039S 1 Mech loosening of unsp internal prosthetic joint, sequela    Mechanical loosening of unspecified internal prosthetic joint, sequela
83593 T8405   0 Periprosthetic osteolysis of internal prosthetic joint       Periprosthetic osteolysis of internal prosthetic joint
83594 T84050  0 Periprosthetic osteolysis of internal prosthetic r hip jt    Periprosthetic osteolysis of internal prosthetic right hip joint
83595 T84050A 1 Periprosth osteolysis of internal prosthetic r hip jt, init  Periprosthetic osteolysis of internal prosthetic right hip joint, initial encounter
83596 T84050D 1 Periprosth osteolysis of internal prosthetic r hip jt, subs  Periprosthetic osteolysis of internal prosthetic right hip joint, subsequent encounter
83597 T84050S 1 Periprosth osteolys of internal prosthetic r hip jt, sequela Periprosthetic osteolysis of internal prosthetic right hip joint, sequela
83598 T84051  0 Periprosthetic osteolysis of internal prosthetic l hip jt    Periprosthetic osteolysis of internal prosthetic left hip joint
83599 T84051A 1 Periprosth osteolysis of internal prosthetic l hip jt, init  Periprosthetic osteolysis of internal prosthetic left hip joint, initial encounter
83600 T84051D 1 Periprosth osteolysis of internal prosthetic l hip jt, subs  Periprosthetic osteolysis of internal prosthetic left hip joint, subsequent encounter
83601 T84051S 1 Periprosth osteolys of internal prosthetic l hip jt, sequela Periprosthetic osteolysis of internal prosthetic left hip joint, sequela
83602 T84052  0 Periprosthetic osteolysis of internal prosthetic r knee jt   Periprosthetic osteolysis of internal prosthetic right knee joint
83603 T84052A 1 Periprosth osteolysis of internal prosthetic r knee jt, init Periprosthetic osteolysis of internal prosthetic right knee joint, initial encounter
83604 T84052D 1 Periprosth osteolysis of internal prosthetic r knee jt, subs Periprosthetic osteolysis of internal prosthetic right knee joint, subsequent encounter
83605 T84052S 1 Periprosth osteolys of internal prosth r knee jt, sequela    Periprosthetic osteolysis of internal prosthetic right knee joint, sequela
83606 T84053  0 Periprosthetic osteolysis of internal prosthetic l knee jt   Periprosthetic osteolysis of internal prosthetic left knee joint
83607 T84053A 1 Periprosth osteolysis of internal prosthetic l knee jt, init Periprosthetic osteolysis of internal prosthetic left knee joint, initial encounter
83608 T84053D 1 Periprosth osteolysis of internal prosthetic l knee jt, subs Periprosthetic osteolysis of internal prosthetic left knee joint, subsequent encounter
83609 T84053S 1 Periprosth osteolys of internal prosth l knee jt, sequela    Periprosthetic osteolysis of internal prosthetic left knee joint, sequela
83610 T84058  0 Periprosthetic osteolysis of other internal prosthetic joint Periprosthetic osteolysis of other internal prosthetic joint
83611 T84058A 1 Periprosthetic osteolysis of internal prosthetic joint, init Periprosthetic osteolysis of other internal prosthetic joint, initial encounter
83612 T84058D 1 Periprosthetic osteolysis of internal prosthetic joint, subs Periprosthetic osteolysis of other internal prosthetic joint, subsequent encounter
83613 T84058S 1 Periprosth osteolysis of internal prosthetic joint, sequela  Periprosthetic osteolysis of other internal prosthetic joint, sequela
83614 T84059  0 Periprosthetic osteolysis of unsp internal prosthetic joint  Periprosthetic osteolysis of unspecified internal prosthetic joint
83615 T84059A 1 Periprosth osteolys of unsp internal prosthetic joint, init  Periprosthetic osteolysis of unspecified internal prosthetic joint, initial encounter
83616 T84059D 1 Periprosth osteolys of unsp internal prosthetic joint, subs  Periprosthetic osteolysis of unspecified internal prosthetic joint, subsequent encounter
83617 T84059S 1 Periprosth osteolys of unsp internal prosth joint, sequela   Periprosthetic osteolysis of unspecified internal prosthetic joint, sequela
83618 T8406   0 Wear of articular bearing surface of internal prosth joint   Wear of articular bearing surface of internal prosthetic joint
83619 T84060  0 Wear of artic bearing surface of internal prosth r hip jt    Wear of articular bearing surface of internal prosthetic right hip joint
83620 T84060A 1 Wear of artic bearing surface of int prosth r hip jt, init   Wear of articular bearing surface of internal prosthetic right hip joint, initial encounter
83621 T84060D 1 Wear of artic bearing surface of int prosth r hip jt, subs   Wear of articular bearing surface of internal prosthetic right hip joint, subsequent encounter
